Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Update Ops,Update Latency
100,100,704,142.04545454545453,0.5681818181818182,0.0,60,2676.9166666666665,40,1493.85
1000,1000,899,1112.3470522803113,0.778642936596218,0.0,501,536.2295409181637,499,405.7955911823647
10000,10000,3642,2745.744096650192,0.3844041735310269,0.0,4998,308.7591036414566,5002,318.9800079968013
100000,100000,20571,4861.21238636916,0.25278304409119634,0.0,49920,188.90967548076924,50080,206.83230830670925
1000000,1000000,172149,5808.921341396116,0.18646637505881533,0.0,500380,161.12771293816698,499620,178.9059104919739
