Record Count,Total Ops,RunTime,Throughput,GC Young (%),GC Old (%),Read Ops,Read Latency,Read-Modify-Write Ops,Read-Modify-Write Latency,Update Ops,Update Latency
100,100,497,201.2072434607646,0.6036217303822937,0.0,100,1129.11,51,2658.372549019608,51,803.2549019607843
1000,1000,973,1027.749229188078,0.7194244604316548,0.0,1000,409.632,531,908.2090395480226,531,418.38418079096044
10000,10000,3564,2805.8361391694725,0.44893378226711567,0.0,10000,202.4962,4987,441.37798275516343,4987,228.34249047523562
100000,100000,24262,4121.671750061825,0.31324705300469874,0.0,100000,152.78952,50076,319.85801581595973,50076,166.57386772106398
1000000,1000000,264357,3782.763460018082,0.18611196223288962,0.0,1000000,168.83698,500306,355.2859410041055,500306,185.66049777536148
