Record Count,RunTime,Throughput,GC Young (%),GC Old (%),Insert Ops,Insert Latency
100,1126,88.80994671403197,0.2664298401420959,0.0,100,1009.63
1000,1399,714.7962830593281,0.21443888491779842,0.0,1000,338.633
10000,4389,2278.42333105491,0.09113693324219639,0.0,10000,293.5944
100000,20987,4764.854433697051,0.23347786725115546,0.0,100000,192.87209
1000000,190097,5260.472285201766,0.048396345023856244,0.0,1000000,186.544213
